,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
1869,OG vs Team Liquid,1.83-2.00,-,1.71-2.10,25 Августа 11:23 2019,The International 2019,Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",OG,"['ana', 'Topson', 'Ceb', 'JerAx', 'N0tail']","['Magnus', 'Ancient Apparition', 'Io', 'Ember Spirit', 'Invoker', 'Monkey King']","['Leshrac', 'Alchemist', 'Chen', 'Meepo', 'Naga Siren', 'Wraith King']","['Templar Assassin', 'Juggernaut', 'Tidehunter', 'Rubick', 'Ogre Magi']","['Faceless Void', 'Pugna', 'Enchantress', 'Tiny', 'Grimstroke']",,"<span class=""team__title-label"">Победа</span>",11 : 36
1870,OG vs Team Liquid,1.83-2.00,-,1.71-2.10,25 Августа 11:23 2019,The International 2019,OG,"['ana', 'Topson', 'Ceb', 'JerAx', 'N0tail']",Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Leshrac', 'Dark Seer', 'Enchantress', 'Meepo', 'Ember Spirit', 'Shadow Fiend']","['Magnus', 'Alchemist', 'Elder Titan', 'Troll Warlord', 'Invoker', ""Nature's Prophet""]","['Io', 'Gyrocopter', 'Timbersaw', 'Tiny', 'Abaddon']","['Windranger', 'Bristleback', 'Omniknight', 'Earth Spirit', 'Chen']","<span class=""team__title-label"">Победа</span>",,20 : 12
1871,PSG.LGD vs Team Liquid,1.74-2.11,-,1.84-1.95,25 Августа 06:18 2019,The International 2019,Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",PSG.LGD,"['Somnus`M', 'Chalice', 'fy', 'xNova']","['Ogre Magi', 'Leshrac', 'Tidehunter', 'Kunkka', 'Dragon Knight', 'Ember Spirit']","['Alchemist', 'Chen', 'Enchantress', 'Magnus', 'Lion', 'Oracle']","['Tinker', 'Faceless Void', 'Tiny', 'Mirana', 'Shadow Demon']","['Gyrocopter', 'Centaur Warrunner', 'Rubick', 'Elder Titan']",,"<span class=""team__title-label"">Победа</span>",16 : 38
1872,PSG.LGD vs Team Liquid,1.74-2.11,-,1.84-1.95,25 Августа 06:18 2019,The International 2019,Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",PSG.LGD,"['Somnus`M', 'Chalice', 'fy', 'xNova']","['Ogre Magi', 'Leshrac', 'Enchantress', 'Gyrocopter', 'Kunkka', 'Ember Spirit']","['Alchemist', 'Chen', 'Tidehunter', 'Faceless Void', 'Tinker', 'Meepo']","['Templar Assassin', 'Sven', 'Dark Seer', 'Rubick', 'Elder Titan']","['Huskar', 'Centaur Warrunner', 'Lion', 'Jakiro']","<span class=""team__title-label"">Победа</span>",,28 : 29
1873,PSG.LGD vs Team Liquid,1.74-2.11,-,1.84-1.95,25 Августа 06:18 2019,The International 2019,PSG.LGD,"['Somnus`M', 'Chalice', 'fy', 'xNova', 'w33']",Team Liquid,"['Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Alchemist', 'Chen', 'Enchantress', 'Io', 'Naga Siren', 'Ember Spirit']","['Leshrac', 'Ogre Magi', 'Centaur Warrunner', 'Kunkka', 'Gyrocopter', 'Sand King']","['Shadow Fiend', 'Dark Seer', 'Rubick', 'Elder Titan', 'Templar Assassin']","['Wraith King', 'Tidehunter', 'Winter Wyvern', 'Shadow Shaman']",,"<span class=""team__title-label"">Победа</span>",8 : 25
1874,Team Liquid vs Team Secret,2.27-1.65,-,2.13-1.70,24 Августа 11:19 2019,The International 2019,Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']","['Elder Titan', 'Alchemist', 'Tiny', 'Bristleback', 'Gyrocopter', 'Sven']","['Sand King', 'Ancient Apparition', 'Enchantress', 'Rubick', 'Templar Assassin', 'Sniper']","['Meepo', 'Leshrac', 'Tidehunter', 'Earth Spirit', 'Chen']","['Outworld Destroyer', 'Io', 'Omniknight', 'Earthshaker', 'Witch Doctor']","<span class=""team__title-label"">Победа</span>",,26 : 8
1875,Team Liquid vs Team Secret,2.27-1.65,-,2.13-1.70,24 Августа 11:19 2019,The International 2019,Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']",Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Chen', 'Enchantress', 'Io', 'Spirit Breaker', 'Ember Spirit', 'Crystal Maiden']","['Ancient Apparition', 'Omniknight', 'Tiny', 'Sven', 'Batrider', 'Monkey King']","['Bristleback', 'Wraith King', 'Magnus', 'Rubick', 'Elder Titan']","['Alchemist', 'Kunkka', 'Dark Seer', 'Winter Wyvern', 'Shadow Shaman']",,"<span class=""team__title-label"">Победа</span>",10 : 25
1876,PSG.LGD vs OG,1.65-2.26,-,1.67-2.17,24 Августа 07:20 2019,The International 2019,OG,"['ana', 'Topson', 'Ceb', 'JerAx', 'N0tail']",PSG.LGD,"['Somnus`M', 'Chalice', 'fy', 'xNova']","['Leshrac', 'Shadow Demon', 'Ogre Magi', 'Naga Siren', 'Spectre', 'Sven']","['Io', 'Enchantress', 'Magnus', 'Tiny', 'Invoker', 'Dazzle']","['Faceless Void', 'Zeus', ""Nature's Prophet"", 'Pangolier', 'Elder Titan']","['Gyrocopter', 'Tidehunter', 'Lion', 'Oracle']",,"<span class=""team__title-label"">Победа</span>",17 : 27
1877,PSG.LGD vs OG,1.65-2.26,-,1.67-2.17,24 Августа 07:20 2019,The International 2019,PSG.LGD,"['Somnus`M', 'Chalice', 'fy', 'xNova', 'ana']",OG,"['Topson', 'Ceb', 'JerAx', 'N0tail']","['Io', 'Enchantress', 'Magnus', 'Spectre', 'Faceless Void', 'Monkey King']","['Leshrac', 'Ogre Magi', 'Elder Titan', 'Lifestealer', 'Ancient Apparition', 'Kunkka']","['Dragon Knight', 'Sand King', 'Jakiro', 'Shadow Demon', 'Alchemist']","['Tiny', 'Dark Seer', 'Spirit Breaker', 'Chen']",,"<span class=""team__title-label"">Победа</span>",9 : 21
1878,PSG.LGD vs OG,1.65-2.26,-,1.67-2.17,24 Августа 07:20 2019,The International 2019,OG,"['ana', 'Topson', 'Ceb', 'JerAx', 'N0tail']",PSG.LGD,"['Somnus`M', 'Chalice', 'fy', 'xNova']","['Ancient Apparition', 'Leshrac', 'Ogre Magi', 'Lifestealer', 'Gyrocopter', 'Faceless Void']","['Io', 'Enchantress', 'Magnus', 'Dark Seer', 'Invoker', 'Dazzle']","['Alchemist', 'Tidehunter', 'Legion Commander', 'Rubick', 'Chen']","['Tiny', 'Sand King', 'Shadow Demon', 'Elder Titan']","<span class=""team__title-label"">Победа</span>",,20 : 29
1879,Team Secret vs Vici Gaming,2.05-1.79,-,1.93-1.85,24 Августа 05:10 2019,The International 2019,Vici Gaming,"['Eurus', 'Ori', 'Yang', 'Fade', 'Dy']",Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']","['Chen', 'Enchantress', 'Tiny', 'Faceless Void', 'Alchemist', 'Kunkka']","['Ogre Magi', 'Shadow Demon', 'Magnus', 'Shadow Shaman', 'Wraith King', 'Sven']","['Leshrac', 'Medusa', 'Tidehunter', 'Earth Spirit', 'Lion']","['Gyrocopter', 'Io', 'Centaur Warrunner', 'Rubick', 'Elder Titan']",,"<span class=""team__title-label"">Победа</span>",5 : 23
1880,Team Secret vs Vici Gaming,2.05-1.79,-,1.93-1.85,24 Августа 05:10 2019,The International 2019,Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']",Vici Gaming,"['Eurus', 'Ori', 'Yang', 'Fade', 'Dy']","['Enchantress', 'Shadow Demon', 'Elder Titan', 'Kunkka', 'Mirana', 'Death Prophet']","['Chen', 'Io', 'Rubick', 'Ancient Apparition', 'Batrider', 'Slark']","['Tiny', 'Bristleback', 'Omniknight', 'Windranger', 'Crystal Maiden']","['Alchemist', 'Razor', 'Centaur Warrunner', 'Grimstroke', 'Ogre Magi']","<span class=""team__title-label"">Победа</span>",,20 : 8
1881,Team Liquid vs Evil Geniuses,1.99-1.83,-,1.95-1.83,23 Августа 11:13 2019,The International 2019,Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",Evil Geniuses,"['Arteezy', 'SumaiL', 's4', 'Fly', 'Cr1t-']","['Elder Titan', 'Enchantress', 'Leshrac', 'Sven', 'Alchemist', 'Omniknight']","['Io', 'Tiny', 'Chen', 'Templar Assassin', 'Timbersaw', 'Outworld Destroyer']","['Tinker', 'Faceless Void', 'Tidehunter', 'Mirana', 'Ogre Magi']","['Lifestealer', 'Kunkka', 'Centaur Warrunner', 'Shadow Demon', 'Lina']","<span class=""team__title-label"">Победа</span>",,23 : 21
1882,Team Liquid vs Evil Geniuses,1.99-1.83,-,1.95-1.83,23 Августа 11:13 2019,The International 2019,Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",Evil Geniuses,"['SumaiL', 'Arteezy', 's4', 'Fly', 'Cr1t-']","['Enchantress', 'Leshrac', 'Tidehunter', 'Batrider', 'Ancient Apparition', 'Sven']","['Io', 'Chen', 'Faceless Void', 'Mirana', 'Outworld Destroyer', 'Sand King']","['Alchemist', 'Ember Spirit', 'Dark Seer', 'Rubick', 'Elder Titan']","['Tiny', 'Lifestealer', 'Timbersaw', 'Shadow Demon', 'Earth Spirit']","<span class=""team__title-label"">Победа</span>",,33 : 10
1883,Infamous Gaming vs Team Secret,4.36-1.22,-,4.10-1.23,23 Августа 08:23 2019,The International 2019,Infamous Gaming,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']",Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']","['Rubick', 'Omniknight', 'Centaur Warrunner', 'Elder Titan', 'Beastmaster', 'Leshrac']","['Enchantress', 'Alchemist', 'Wraith King', 'Phantom Assassin', 'Kunkka', 'Templar Assassin']","['Silencer', 'Phantom Lancer', 'Riki', 'Magnus', 'Shadow Shaman']","['Earthshaker', 'Faceless Void', 'Tiny', 'Mirana', 'Shadow Demon']",,"<span class=""team__title-label"">Победа</span>",25 : 52
1884,Infamous Gaming vs Team Secret,4.36-1.22,-,4.10-1.23,23 Августа 08:23 2019,The International 2019,Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']",Infamous Gaming,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']","['Alchemist', 'Wraith King', 'Magnus', 'Naga Siren', 'Mirana', 'Outworld Destroyer']","['Rubick', 'Omniknight', 'Enchantress', 'Ancient Apparition', 'Elder Titan', 'Lina']","['Tiny', 'Faceless Void', 'Abaddon', 'Enigma', 'Witch Doctor']","['Tidehunter', 'Lifestealer', 'Storm Spirit', 'Doom', 'Shadow Demon']","<span class=""team__title-label"">Победа</span>",,38 : 12
1885,Royal Never Give Up vs Team Liquid,2.70-1.48,-,2.78-1.43,23 Августа 05:15 2019,The International 2019,Royal Never Give Up,"['Monet', 'Flyby', 'ah fu', 'LaNm', 'w33']",Team Liquid,"['Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Chen', 'Shadow Demon', 'Enchantress', 'Faceless Void', 'Slark', ""Nature's Prophet""]","['Leshrac', 'Alchemist', 'Ogre Magi', 'Shadow Shaman', 'Outworld Destroyer', 'Morphling']","['Lifestealer', 'Centaur Warrunner', 'Abaddon', 'Mirana', 'Tiny']","['Gyrocopter', 'Night Stalker', 'Io', 'Elder Titan']",,"<span class=""team__title-label"">Победа</span>",15 : 22
1886,Royal Never Give Up vs Team Liquid,2.70-1.48,-,2.78-1.43,23 Августа 05:15 2019,The International 2019,Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",Royal Never Give Up,"['Monet', 'Flyby', 'ah fu', 'LaNm']","['Alchemist', 'Leshrac', 'Elder Titan', 'Ember Spirit', 'Faceless Void', 'Sven']","['Chen', 'Io', 'Shadow Demon', 'Templar Assassin', 'Pugna', 'Broodmother']","['Tiny', 'Arc Warden', 'Sand King', 'Rubick', 'Ancient Apparition']","['Gyrocopter', 'Enchantress', 'Bane', 'Shadow Shaman']","<span class=""team__title-label"">Победа</span>",,46 : 37
1887,OG vs Evil Geniuses,1.54-2.51,-,1.47-2.63,22 Августа 15:33 2019,The International 2019,Evil Geniuses,"['Arteezy', 'SumaiL', 's4', 'Cr1t-', 'Fly']",OG,"['ana', 'Topson', 'Ceb', 'JerAx', 'N0tail']","['Magnus', 'Io', 'Alchemist', 'Spectre', 'Batrider', 'Zeus']","['Leshrac', 'Naga Siren', 'Elder Titan', 'Lifestealer', 'Kunkka', 'Tiny']","['Terrorblade', 'Lina', 'Enchantress', 'Earth Spirit', 'Crystal Maiden']","['Phantom Assassin', 'Invoker', 'Earthshaker', 'Grimstroke', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,26 : 8
1888,OG vs Evil Geniuses,1.54-2.51,-,1.47-2.63,22 Августа 15:33 2019,The International 2019,OG,"['ana', 'Topson', 'Ceb', 'JerAx', 'N0tail']",Evil Geniuses,"['SumaiL', 'Arteezy', 's4', 'Cr1t-', 'Fly']","['Leshrac', 'Naga Siren', 'Ancient Apparition', 'Sand King', 'Kunkka', 'Outworld Destroyer']","['Magnus', 'Io', 'Alchemist', 'Ember Spirit', 'Spectre', 'Batrider']","['Faceless Void', 'Tiny', 'Enchantress', 'Earthshaker', 'Oracle']","['Gyrocopter', 'Terrorblade', 'Ogre Magi', 'Mirana', 'Elder Titan']","<span class=""team__title-label"">Победа</span>",,36 : 20
1889,OG vs Evil Geniuses,1.54-2.51,-,1.47-2.63,22 Августа 15:33 2019,The International 2019,OG,"['ana', 'Topson', 'Ceb', 'JerAx', 'N0tail']",Evil Geniuses,"['SumaiL', 'Arteezy', 's4', 'Fly', 'Cr1t-']","['Leshrac', 'Naga Siren', 'Elder Titan', 'Shadow Demon', 'Centaur Warrunner', 'Broodmother']","['Magnus', 'Io', 'Alchemist', 'Faceless Void', 'Earthshaker', 'Oracle']","['Juggernaut', 'Invoker', 'Enchantress', 'Sand King', 'Rubick']","['Mirana', 'Anti-Mage', 'Tiny', 'Crystal Maiden', 'Dark Willow']","<span class=""team__title-label"">Победа</span>",,23 : 15
1890,PSG.LGD vs Vici Gaming,1.68-2.22,-,1.58-2.35,22 Августа 12:51 2019,The International 2019,Vici Gaming,"['Eurus', 'Ori', 'Yang', 'Fade', 'Dy']",PSG.LGD,"['Somnus`M', 'Chalice', 'fy', 'xNova']","['Gyrocopter', 'Ogre Magi', 'Elder Titan', 'Lifestealer', 'Sven', 'Naga Siren']","['Enchantress', 'Tidehunter', 'Shadow Demon', 'Alchemist', 'Medusa', 'Omniknight']","['Wraith King', 'Leshrac', 'Abaddon', 'Shadow Shaman', 'Warlock']","['Kunkka', 'Centaur Warrunner', 'Rubick', 'Lion']",,"<span class=""team__title-label"">Победа</span>",11 : 20
1891,PSG.LGD vs Vici Gaming,1.68-2.22,-,1.58-2.35,22 Августа 12:51 2019,The International 2019,Vici Gaming,"['Eurus', 'Ori', 'Yang', 'Fade', 'Dy']",PSG.LGD,"['Somnus`M', 'Chalice', 'fy', 'xNova']","['Gyrocopter', 'Leshrac', 'Shadow Demon', 'Faceless Void', 'Lifestealer', 'Tiny']","['Centaur Warrunner', 'Enchantress', 'Tidehunter', 'Warlock', 'Kunkka', 'Razor']","['Sven', 'Necrophos', 'Sand King', 'Mirana', 'Lion']","['Dragon Knight', 'Ogre Magi', 'Jakiro', 'Elder Titan']",,"<span class=""team__title-label"">Победа</span>",16 : 26
1892,Team Secret vs Mineski,1.13-6.30,-,1.15-5.30,22 Августа 08:45 2019,The International 2019,Mineski,"['Nikobaby', 'Moon', 'kpii', 'Raging Potato', 'ninjaboogie']",Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']","['Chen', 'Kunkka', 'Enchantress', 'Naga Siren', 'Broodmother', 'Slark']","['Shadow Demon', 'Ogre Magi', 'Elder Titan', 'Ancient Apparition', 'Tinker', 'Sniper']","['Wraith King', 'Alchemist', 'Omniknight', 'Mirana', 'Witch Doctor']","['Meepo', 'Visage', 'Tidehunter', 'Rubick', 'Crystal Maiden']",,"<span class=""team__title-label"">Победа</span>",29 : 29
1893,Team Secret vs Mineski,1.13-6.30,-,1.15-5.30,22 Августа 08:45 2019,The International 2019,Mineski,"['Nikobaby', 'Moon', 'kpii', 'Raging Potato', 'ninjaboogie']",Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']","['Chen', 'Kunkka', 'Mirana', 'Naga Siren', 'Morphling', 'Ember Spirit']","['Shadow Demon', 'Alchemist', 'Elder Titan', 'Wraith King', 'Bane', 'Death Prophet']","['Faceless Void', 'Lina', 'Enchantress', 'Tiny', 'Witch Doctor']","['Storm Spirit', 'Phantom Assassin', 'Magnus', 'Rubick', 'Ogre Magi']","<span class=""team__title-label"">Победа</span>",,36 : 28
1894,Team Secret vs Mineski,1.13-6.30,-,1.15-5.30,22 Августа 08:45 2019,The International 2019,Mineski,"['Nikobaby', 'Moon', 'kpii', 'Raging Potato', 'ninjaboogie']",Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']","['Chen', 'Kunkka', 'Naga Siren', 'Broodmother', 'Batrider', 'Invoker']","['Enchantress', 'Shadow Demon', 'Mirana', 'Enigma', 'Outworld Destroyer', 'Alchemist']","['Wraith King', 'Death Prophet', 'Ogre Magi', 'Shadow Shaman', 'Ancient Apparition']","['Tiny', 'Faceless Void', 'Omniknight', 'Rubick', 'Elder Titan']",,"<span class=""team__title-label"">Победа</span>",18 : 29
1895,Newbee vs Infamous Gaming,1.61-2.34,-,1.62-2.25,22 Августа 05:11 2019,The International 2019,Newbee,"['YawaR', 'Quinn', 'MSS', 'Sneyking', 'pieliedie']",Infamous Gaming,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']","['Enchantress', 'Alchemist', 'Broodmother', 'Lifestealer', 'Shadow Demon', 'Tiny']","['Gyrocopter', 'Mirana', 'Beastmaster', 'Legion Commander', 'Omniknight', 'Anti-Mage']","['Sven', 'Leshrac', 'Shadow Shaman', 'Axe', 'Elder Titan']","['Oracle', 'Wraith King', 'Monkey King', 'Magnus', 'Nyx Assassin']",,"<span class=""team__title-label"">Победа</span>",13 : 23
1896,Newbee vs Infamous Gaming,1.61-2.34,-,1.62-2.25,22 Августа 05:11 2019,The International 2019,Infamous Gaming,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']",Newbee,"['YawaR', 'Quinn', 'pieliedie', 'Sneyking', 'MSS']","['Beastmaster', 'Mirana', 'Gyrocopter', 'Timbersaw', 'Tiny', 'Anti-Mage']","['Enchantress', 'Magnus', 'Alchemist', 'Broodmother', 'Shadow Demon', 'Huskar']","['Oracle', 'Juggernaut', 'Kunkka', 'Brewmaster', 'Nyx Assassin']","['Lifestealer', 'Outworld Destroyer', 'Elder Titan', 'Omniknight', 'Windranger']",,"<span class=""team__title-label"">Победа</span>",10 : 31
1897,Newbee vs Infamous Gaming,1.61-2.34,-,1.62-2.25,22 Августа 05:11 2019,The International 2019,Newbee,"['YawaR', 'Quinn', 'MSS', 'Sneyking', 'pieliedie']",Infamous Gaming,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']","['Magnus', 'Alchemist', 'Enchantress', 'Tiny', 'Broodmother', 'Outworld Destroyer']","['Beastmaster', 'Omniknight', 'Mirana', 'Lina', 'Anti-Mage', 'Razor']","['Lifestealer', 'Kunkka', 'Invoker', 'Tidehunter', 'Elder Titan']","['Ancient Apparition', 'Wraith King', 'Slark', 'Leshrac', 'Earth Spirit']",,"<span class=""team__title-label"">Победа</span>",20 : 28
1898,TNC Predator vs Team Liquid,1.87-1.95,-,1.94-1.82,21 Августа 14:31 2019,The International 2019,TNC Predator,"['Gabbi', 'Armel', 'Kuku', 'Tims', 'Eyyou']",Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Elder Titan', 'Beastmaster', 'Meepo', 'Gyrocopter', 'Outworld Destroyer', 'Juggernaut']","['Ancient Apparition', 'Sand King', 'Alchemist', 'Sven', 'Lifestealer', 'Ember Spirit']","['Wraith King', 'Kunkka', 'Batrider', 'Mirana', 'Shadow Demon']","['Templar Assassin', 'Troll Warlord', 'Tidehunter', 'Tusk', 'Chen']",,"<span class=""team__title-label"">Победа</span>",14 : 21
1899,TNC Predator vs Team Liquid,1.87-1.95,-,1.94-1.82,21 Августа 14:31 2019,The International 2019,Team Liquid,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",TNC Predator,"['Gabbi', 'Armel', 'Kuku', 'Tims', 'Eyyou']","['Ancient Apparition', 'Chen', 'Alchemist', 'Sven', 'Kunkka', 'Faceless Void']","['Elder Titan', 'Meepo', 'Beastmaster', 'Templar Assassin', 'Enigma', 'Medusa']","['Leshrac', 'Anti-Mage', 'Underlord', 'Rubick', 'Shadow Demon']","['Bristleback', 'Death Prophet', 'Tidehunter', 'Mirana', 'Oracle']","<span class=""team__title-label"">Победа</span>",,22 : 19
1900,Team Secret vs Evil Geniuses,1.43-2.89,-,1.42-2.78,21 Августа 07:43 2019,The International 2019,Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']",Evil Geniuses,"['Arteezy', 'SumaiL', 's4', 'Cr1t-', 'Fly']","['Shadow Demon', 'Sand King', 'Gyrocopter', 'Rubick', 'Naga Siren', 'Bristleback']","['Alchemist', 'Kunkka', 'Mirana', 'Ember Spirit', 'Lifestealer', 'Spectre']","['Tiny', 'Wraith King', 'Enchantress', 'Earthshaker', 'Chen']","['Sven', 'Leshrac', 'Centaur Warrunner', 'Windranger', 'Elder Titan']",,"<span class=""team__title-label"">Победа</span>",12 : 40
1901,Team Secret vs Evil Geniuses,1.43-2.89,-,1.42-2.78,21 Августа 07:43 2019,The International 2019,Evil Geniuses,"['SumaiL', 'Arteezy', 's4', 'Cr1t-', 'Fly']",Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']","['Kunkka', 'Mirana', 'Alchemist', 'Ember Spirit', 'Tiny', 'Anti-Mage']","['Chen', 'Enchantress', 'Elder Titan', 'Earth Spirit', 'Lifestealer', 'Spectre']","['Leshrac', 'Sven', 'Tidehunter', 'Rubick', 'Shadow Demon']","['Invoker', 'Faceless Void', 'Enigma', 'Earthshaker', 'Crystal Maiden']",,"<span class=""team__title-label"">Победа</span>",29 : 29
1902,Team Secret vs Evil Geniuses,1.43-2.89,-,1.42-2.78,21 Августа 07:43 2019,The International 2019,Team Secret,"['MidOne', 'Nisha', 'zai', 'YapzOr', 'Puppey']",Evil Geniuses,"['SumaiL', 'Arteezy', 's4', 'Fly', 'Cr1t-']","['Elder Titan', 'Leshrac', 'Tidehunter', 'Earth Spirit', 'Storm Spirit', 'Faceless Void']","['Kunkka', 'Alchemist', 'Earthshaker', 'Naga Siren', 'Morphling', 'Gyrocopter']","['Slark', 'Weaver', 'Sand King', 'Mirana', 'Ogre Magi']","['Ember Spirit', 'Phantom Assassin', 'Enchantress', 'Shadow Demon', 'Magnus']",,"<span class=""team__title-label"">Победа</span>",14 : 26
1903,OG vs Newbee,1.02-11.49,-,1.00-15.38,21 Августа 05:18 2019,The International 2019,Newbee,"['YawaR', 'Quinn', 'pieliedie', 'MSS', 'Sneyking']",OG,"['ana', 'Topson', 'Ceb', 'JerAx', 'N0tail']","['Enchantress', 'Chen', 'Magnus', 'Axe', 'Tidehunter', 'Ember Spirit']","['Mirana', 'Gyrocopter', 'Warlock', 'Sven', 'Alchemist', 'Naga Siren']","['Lifestealer', 'Tiny', 'Grimstroke', 'Visage', 'Beastmaster']","['Io', 'Bristleback', 'Omniknight', 'Rubick', 'Elder Titan']",,"<span class=""team__title-label"">Победа</span>",9 : 23
1904,OG vs Newbee,1.02-11.49,-,1.00-15.38,21 Августа 05:18 2019,The International 2019,Newbee,"['YawaR', 'Quinn', 'pieliedie', 'MSS', 'Sneyking']",OG,"['ana', 'Topson', 'Ceb', 'JerAx', 'N0tail']","['Io', 'Chen', 'Invoker', 'Elder Titan', 'Tiny', 'Zeus']","['Mirana', 'Gyrocopter', 'Ancient Apparition', 'Alchemist', 'Naga Siren', 'Slark']","['Sven', 'Ember Spirit', 'Shadow Demon', 'Earthshaker', 'Enchantress']","['Juggernaut', 'Monkey King', 'Magnus', 'Treant Protector', 'Grimstroke']",,"<span class=""team__title-label"">Победа</span>",16 : 35
1905,Vici Gaming vs TNC Predator,2.21-1.68,-,1.44-2.70,20 Августа 08:34 2019,The International 2019,TNC Predator,"['Gabbi', 'Armel', 'Kuku', 'Tims', 'Eyyou']",Vici Gaming,"['Eurus', 'Ori', 'Yang', 'Fade', 'Dy']","['Elder Titan', 'Ogre Magi', 'Tidehunter', 'Ember Spirit', 'Death Prophet', 'Kunkka']","['Chen', 'Mirana', 'Shadow Demon', 'Alchemist', 'Sven', 'Puck']","['Lifestealer', 'Queen of Pain', 'Sand King', 'Tiny', 'Ancient Apparition']","['Juggernaut', 'Lina', 'Enchantress', 'Magnus', 'Witch Doctor']","<span class=""team__title-label"">Победа</span>",,48 : 38
1906,Vici Gaming vs TNC Predator,2.21-1.68,-,1.44-2.70,20 Августа 08:34 2019,The International 2019,TNC Predator,"['Gabbi', 'Armel', 'Kuku', 'Tims', 'Eyyou']",Vici Gaming,"['Eurus', 'Ori', 'Yang', 'Fade', 'Dy']","['Elder Titan', 'Ogre Magi', 'Alchemist', 'Leshrac', 'Death Prophet', 'Shadow Shaman']","['Chen', 'Mirana', 'Enchantress', 'Slark', 'Sand King', 'Outworld Destroyer']","['Bristleback', 'Razor', 'Tiny', 'Earthshaker', 'Ancient Apparition']","['Lifestealer', 'Kunkka', 'Tidehunter', 'Rubick', 'Shadow Demon']",,"<span class=""team__title-label"">Победа</span>",26 : 30
1907,Vici Gaming vs TNC Predator,2.21-1.68,-,1.44-2.70,20 Августа 08:34 2019,The International 2019,TNC Predator,"['Gabbi', 'Armel', 'Kuku', 'Tims', 'Eyyou']",Vici Gaming,"['Eurus', 'Ori', 'Yang', 'Fade', 'Dy']","['Elder Titan', 'Ogre Magi', 'Alchemist', 'Tidehunter', 'Sven', 'Death Prophet']","['Chen', 'Mirana', 'Ancient Apparition', 'Lifestealer', 'Sand King', 'Sniper']","['Juggernaut', 'Broodmother', 'Earthshaker', 'Tiny', 'Grimstroke']","['Leshrac', 'Medusa', 'Centaur Warrunner', 'Shadow Demon', 'Warlock']",,"<span class=""team__title-label"">Победа</span>",6 : 25
1908,PSG.LGD vs Virtus.pro,2.27-1.65,-,1.45-2.67,20 Августа 05:45 2019,The International 2019,PSG.LGD,"['Somnus`M', 'Chalice', 'fy', 'xNova', 'No[o]ne']",Virtus.pro,"['9pasha', 'RAMZES666', 'RodjER', 'Solo']","['Shadow Demon', 'Centaur Warrunner', 'Magnus', 'Lifestealer', 'Kunkka', 'Storm Spirit']","['Leshrac', 'Enchantress', 'Elder Titan', 'Naga Siren', 'Alchemist', 'Faceless Void']","['Gyrocopter', 'Tidehunter', 'Rubick', 'Ogre Magi', 'Dazzle']","['Brewmaster', 'Morphling', 'Earthshaker', 'Silencer']","<span class=""team__title-label"">Победа</span>",,22 : 10
